Abundance	Domain	Phylum	Class	Order	Family	Genus
26932	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria
3618	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Mycoarthris
21537	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
357	Fungi	Ascomycota	Sordariomycetes	Xylariales	Unclassified	Unclassified
10	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Unclassified
373	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma
3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
13185	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
640	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria
19775	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
483	Fungi	Ascomycota	Unclassified	Unclassified	Unclassified	Unclassified
4413	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
12046	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium
32398	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza
1390	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusicolla
1669	Fungi	Ascomycota	Laboulbeniomycetes	Pyxidiophorales	Unclassified	Unclassified
